image_path,prompt
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-02-10_18-27-00_UTC_2.jpg,a photo of a woman sleeping in a forest surrounded by leaves.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-02-28_15-32-58_UTC_6.jpg,An image of a woman with long dark hair standing in front of a forest of purple and pink flowers.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-07-13_20-58-44_UTC_1.jpg,a red-haired woman lying on a bed of flowers with her back to the viewer.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-06-21_14-01-19_UTC_2.jpg,a close-up of a woman's face with a goldfish swimming around her face.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-11-02_19-41-01_UTC_1.jpg,a portrait of a woman holding a cat with blood dripping from its mouth.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-10-07_21-50-17_UTC_1.jpg,a portrait of a woman with butterflies in her hair and flowers in her hair and on her face.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-06-21_14-01-19_UTC_1.jpg,a woman with long blonde hair wearing a feather headdress with gold fish swimming around her head.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-05-28_21-17-55_UTC_1.jpg,a portrait of a young woman wearing a red and gold headdress in a snowy landscape.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-02-28_15-32-58_UTC_3.jpg,a photo of a woman with long dark hair and blue eyes. She is wearing a blue dress.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-03-09_23-06-35_UTC_2.jpg,a photo of a woman in a floral dress laying on a bed of flowers surrounded by wildflowers.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-03-12_00-41-43_UTC.jpg,a portrait of a young woman wearing a crown of flowers in the snow.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-02-28_15-32-58_UTC_5.jpg,a close-up of a woman standing in front of a sea of purple flowers.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-11-02_19-41-01_UTC_3.jpg,a dark-skinned woman with long black hair wearing a black headdress and holding a horn.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-03-17_23-57-28_UTC_1.jpg,A woman lying in a bed of flowers surrounded by pink roses.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-04-20_19-45-15_UTC.jpg,An image of a butterfly and flowers in a forest at night.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-02-10_18-27-00_UTC_6.jpg,an angel with white wings and a white dress standing in a field of white flowers with a cloudy sky in the background.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-03-28_03-28-45_UTC_1.jpg,A woman in a white dress holding a snake in her hand standing in front of a large tree.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-03-31_22-26-21_UTC_4.jpg,a woman with long blonde hair wearing a pink wig and a crown of flowers.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-03-17_23-57-28_UTC_2.jpg,a woman sleeping in a field of lavender flowers.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-02-10_18-27-00_UTC_9.jpg,a portrait of a young woman wearing a white dress and holding a bouquet of white flowers in her hands.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-12-26_01-02-11_UTC_2.jpg,a portrait of a beautiful young woman wearing a long white dress standing in front of a snowy background.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-10-03_22-19-21_UTC_4.jpg,a close-up of a woman with red hair standing in front of a bush of red flowers.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-12-26_01-02-11_UTC_4.jpg,a woman wearing a silver dress holding a bouquet of blue flowers in front of a black background.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-04-22_01-24-31_UTC_1.jpg,two women dressed in traditional Indian clothing lying in a field of flowers with smoke coming out of their heads.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-10-06_17-17-05_UTC_1.jpg,a woman in a white dress standing in a field surrounded by trees.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-11-30_20-34-18_UTC_2.jpg,A woman in a fairy costume standing in a field of wheat.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-12-02_18-21-23_UTC_8.jpg,a red-haired woman in a field of wildflowers.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-12-26_01-02-11_UTC_1.jpg,a woman in a blue dress holding a bouquet of flowers in front of a snowy forest.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-04-22_01-24-31_UTC_2.jpg,a woman dressed in traditional Indian attire with smoke coming out of her mouth.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-04-22_01-24-31_UTC_3.jpg,a photo of a woman and a woman dressed in traditional Asian attire.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-12-31_22-40-19_UTC_4.jpg,a dark-skinned woman resting her head on her hand and looking up at the night sky.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-12-02_18-21-23_UTC_4.jpg,a young woman with long red hair wearing a red and white dress standing in a field of wheat.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-12-31_22-40-19_UTC_5.jpg,a black-and-white photo of a young woman lying on her back with her eyes closed.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-10-06_17-17-05_UTC_3.jpg,a woman wearing a white dress sitting in a forest with her head in her hands.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-02-23_01-16-06_UTC_1.jpg,a woman in a white dress holding an angel wings in her hands.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-12-03_16-06-04_UTC.jpg,"a close-up of a red-haired woman with long red hair, wearing a red dress and holding a flower in her hand."
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-07-23_18-52-54_UTC.jpg,a woman in a black dress standing on a rocky outcrop with her hands in her pockets.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-10-06_17-17-05_UTC_5.jpg,a photo of a young woman with long black hair lying on the ground in the woods.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-10-03_22-19-21_UTC_5.jpg,a red-haired woman with long red hair standing in front of a bush full of red flowers.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-06-20_23-03-14_UTC_1.jpg,An image of a young woman sitting on a rock in front of a waterfall in a forest.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-10-03_22-19-21_UTC_2.jpg,a woman with red hair standing in front of a bush of red flowers.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-12-07_20-01-25_UTC.jpg,a white woman wearing a white dress holding a white shell in her hand.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-10-11_19-09-43_UTC_1.jpg,a woman lying on a bed of wildflowers in a forest surrounded by butterflies.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-12-05_16-43-20_UTC.jpg,a portrait of a young woman wearing a headdress made of flowers in a field of flowers.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-10-08_11-02-47_UTC.jpg,a woman wearing a silver headdress standing in a forest at night.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-10-03_22-19-21_UTC_1.jpg,A woman in a black dress with red hair standing in front of a bush full of red flowers.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-12-02_18-21-23_UTC_2.jpg,An image of a red-haired woman with long red hair wearing a pink dress and holding a flower in her hand.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-11-30_20-34-18_UTC_3.jpg,A woman in a pink fairy costume sits in a field of wildflowers.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-12-26_01-02-11_UTC_3.jpg,a blonde woman with long blonde hair wearing a white wedding dress posing in front of a dark background.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-06-20_23-03-14_UTC_4.jpg,a young woman with long blonde hair wearing a silver sequined dress standing in front of a waterfall.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-10-06_17-17-05_UTC_2.jpg,a woman wearing a silver headdress standing in a forest surrounded by trees.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-12-02_18-21-23_UTC_1.jpg,a red-haired fairy sitting in a field of flowers with a crescent moon in the background.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-12-06_18-24-50_UTC.jpg,An image of a ballerina standing on a ladder in front of a library full of books.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-12-31_22-40-19_UTC_1.jpg,a dark-skinned woman sitting on a bed of flowers with her head resting on her hand.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-11-30_20-34-18_UTC_1.jpg,A woman in a pink fairy costume holding a dandelion in her hand and looking at the camera.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-10-06_17-17-05_UTC_4.jpg,a dark-haired woman wearing a silver headdress with horns resting on a green grassy field.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-02-23_01-16-06_UTC_5.jpg,An image of a young woman wearing an ornate headdress and holding a feather in her hand.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-10-03_22-19-21_UTC_3.jpg,a woman smelling flowers in a garden.
kotakb/kotakb_21-23_with-captions_tagged/2022/2022-12-02_18-21-23_UTC_3.jpg,A woman in a fairy costume sits on a grassy field with a full moon in the background.
kotakb/kotakb_21-23_with-captions_tagged/2023/2023-05-29_20-05-19_UTC.jpg,a group of young women dressed in pastel-colored gowns standing in a field of grass.
kotakb/kotakb_21-23_with-captions_tagged/2023/2023-05-25_21-42-27_UTC_8.jpg,two young women dressed as Belle and Belle from Beauty and the Beast walking down a street in England.
kotakb/kotakb_21-23_with-captions_tagged/2023/2023-05-31_16-40-03_UTC.jpg,an image of a young couple holding hands while walking through a field of yellow dandelions.
kotakb/kotakb_21-23_with-captions_tagged/2023/2023-05-25_21-42-27_UTC_7.jpg,A young woman and a young man running through a garden in a white wedding dress and holding hands.
kotakb/kotakb_21-23_with-captions_tagged/2023/2023-05-24_22-38-48_UTC.jpg,A group of young women dressed in Victorian gowns standing in front of a large pink rose bush.
kotakb/kotakb_21-23_with-captions_tagged/2023/2023-05-25_21-42-27_UTC_1.jpg,a group of women dressed in Victorian-style attire walking down a cobbled street in England.
kotakb/kotakb_21-23_with-captions_tagged/2023/2023-05-25_21-42-27_UTC_4.jpg,a young woman sitting in a garden wearing a pink gown and reading a book.
kotakb/kotakb_21-23_with-captions_tagged/2023/2023-01-15_12-53-59_UTC.jpg,a close-up portrait of a young woman wearing a long white dress and a crown of flowers.
kotakb/kotakb_21-23_with-captions_tagged/2023/2023-05-25_21-42-27_UTC_2.jpg,two women dressed in yellow and white gowns standing in front of a garden full of yellow and white roses.
kotakb/kotakb_21-23_with-captions_tagged/2023/2023-05-25_21-42-27_UTC_5.jpg,a young woman dressed as Cinderella holding a rose in her hand.
kotakb/kotakb_21-23_with-captions_tagged/2023/2023-05-25_21-42-27_UTC_3.jpg,a portrait of a woman wearing a white dress and a crown of flowers in a garden.
kotakb/kotakb_21-23_with-captions_tagged/2023/2023-05-25_21-42-27_UTC_6.jpg,a black and white portrait of a man wearing a purple shirt and holding a red rose.
kotakb/kotakb_21-23_with-captions_tagged/2023/2023-06-10_00-54-19_UTC.jpg,Two women dressed in traditional Asian attire sitting on a grassy hill.
kotakb/kotakb_21-23_with-captions_tagged/2023/2023-06-11_18-33-56_UTC_1.jpg,a portrait of a woman wearing a red dress with flowers in her hair.
kotakb/kotakb_21-23_with-captions_tagged/2023/bella-kotak-yinsey-wang-peacock-and-the-crane-enchanted-magazine-fairytale-fantasy-folklore-creative-photography-editorial-2-X2.jpg,Two women dressed in traditional Indian clothing lying in a field of flowers with smoke coming out of their heads.
